[2025-11-16 10:56:41] Running experiment 'model_resnet32x4_wide' (Wider network (x4 channels) for richer features.)
[2025-11-16 10:59:22] Epoch 1/60 | Loss 0.4885 | Train Acc 0.8524 | Val Acc 0.9532
[2025-11-16 11:02:04] Epoch 2/60 | Loss 0.1257 | Train Acc 0.9657 | Val Acc 0.9756
[2025-11-16 11:04:41] Epoch 3/60 | Loss 0.1022 | Train Acc 0.9713 | Val Acc 0.9728
[2025-11-16 11:07:22] Epoch 4/60 | Loss 0.0840 | Train Acc 0.9778 | Val Acc 0.9827
[2025-11-16 11:10:01] Epoch 5/60 | Loss 0.0818 | Train Acc 0.9775 | Val Acc 0.9723
[2025-11-16 11:12:41] Epoch 6/60 | Loss 0.0664 | Train Acc 0.9832 | Val Acc 0.9774
[2025-11-16 11:15:23] Epoch 7/60 | Loss 0.0708 | Train Acc 0.9810 | Val Acc 0.9730
[2025-11-16 11:18:00] Epoch 8/60 | Loss 0.0634 | Train Acc 0.9822 | Val Acc 0.9791
[2025-11-16 11:20:41] Epoch 9/60 | Loss 0.0599 | Train Acc 0.9838 | Val Acc 0.9743
[2025-11-16 11:23:21] Epoch 10/60 | Loss 0.0552 | Train Acc 0.9855 | Val Acc 0.9822
[2025-11-16 11:26:00] Epoch 11/60 | Loss 0.0543 | Train Acc 0.9850 | Val Acc 0.9842
[2025-11-16 11:28:42] Epoch 12/60 | Loss 0.0558 | Train Acc 0.9849 | Val Acc 0.9453
[2025-11-16 11:31:19] Epoch 13/60 | Loss 0.0469 | Train Acc 0.9885 | Val Acc 0.9846
[2025-11-16 11:34:01] Epoch 14/60 | Loss 0.0429 | Train Acc 0.9891 | Val Acc 0.9866
[2025-11-16 11:36:40] Epoch 15/60 | Loss 0.0448 | Train Acc 0.9880 | Val Acc 0.9866
[2025-11-16 11:39:20] Epoch 16/60 | Loss 0.0406 | Train Acc 0.9893 | Val Acc 0.9860
[2025-11-16 11:42:02] Epoch 17/60 | Loss 0.0370 | Train Acc 0.9908 | Val Acc 0.9883
[2025-11-16 11:44:39] Epoch 18/60 | Loss 0.0348 | Train Acc 0.9910 | Val Acc 0.9860
[2025-11-16 11:47:20] Epoch 19/60 | Loss 0.0320 | Train Acc 0.9921 | Val Acc 0.9838
[2025-11-16 11:50:00] Epoch 20/60 | Loss 0.0320 | Train Acc 0.9916 | Val Acc 0.9815
[2025-11-16 11:52:39] Epoch 21/60 | Loss 0.0318 | Train Acc 0.9922 | Val Acc 0.9866
[2025-11-16 11:55:20] Epoch 22/60 | Loss 0.0281 | Train Acc 0.9935 | Val Acc 0.9883
[2025-11-16 11:57:57] Epoch 23/60 | Loss 0.0258 | Train Acc 0.9937 | Val Acc 0.9868
[2025-11-16 12:00:39] Epoch 24/60 | Loss 0.0257 | Train Acc 0.9936 | Val Acc 0.9875
[2025-11-16 12:03:19] Epoch 25/60 | Loss 0.0224 | Train Acc 0.9946 | Val Acc 0.9864
[2025-11-16 12:05:57] Epoch 26/60 | Loss 0.0199 | Train Acc 0.9949 | Val Acc 0.9881
