[2025-10-19 14:05:50] Running experiment 'baseline_resnet20' (기존 기본 설정 (변경 없음))
[2025-10-19 14:05:50] Model: resnet20, optimizer: adam, lr: 0.001, wd: 0.0005, epochs: 60, batch_size: 64
[2025-10-19 14:06:01] Epoch 1/60 | Train Loss: 0.7222 | Train Acc: 0.7801 | Val Acc: 0.9332
[2025-10-19 14:06:10] Epoch 2/60 | Train Loss: 0.1470 | Train Acc: 0.9633 | Val Acc: 0.9730
[2025-10-19 14:06:20] Epoch 3/60 | Train Loss: 0.1017 | Train Acc: 0.9736 | Val Acc: 0.9664
[2025-10-19 14:06:30] Epoch 4/60 | Train Loss: 0.0874 | Train Acc: 0.9782 | Val Acc: 0.9723
[2025-10-19 14:06:39] Epoch 5/60 | Train Loss: 0.0782 | Train Acc: 0.9815 | Val Acc: 0.9635
[2025-10-19 14:06:49] Epoch 6/60 | Train Loss: 0.0702 | Train Acc: 0.9825 | Val Acc: 0.9765
[2025-10-19 14:06:59] Epoch 7/60 | Train Loss: 0.0760 | Train Acc: 0.9802 | Val Acc: 0.9804
[2025-10-19 14:07:09] Epoch 8/60 | Train Loss: 0.0684 | Train Acc: 0.9832 | Val Acc: 0.9833
[2025-10-19 14:07:18] Epoch 9/60 | Train Loss: 0.0668 | Train Acc: 0.9832 | Val Acc: 0.9776
[2025-10-19 14:07:28] Epoch 10/60 | Train Loss: 0.0649 | Train Acc: 0.9836 | Val Acc: 0.9793
[2025-10-19 14:07:38] Epoch 11/60 | Train Loss: 0.0622 | Train Acc: 0.9842 | Val Acc: 0.9697
[2025-10-19 14:07:47] Epoch 12/60 | Train Loss: 0.0621 | Train Acc: 0.9850 | Val Acc: 0.9715
[2025-10-19 14:07:57] Epoch 13/60 | Train Loss: 0.0584 | Train Acc: 0.9853 | Val Acc: 0.9818
[2025-10-19 14:08:07] Epoch 14/60 | Train Loss: 0.0555 | Train Acc: 0.9860 | Val Acc: 0.9767
[2025-10-19 14:08:16] Epoch 15/60 | Train Loss: 0.0590 | Train Acc: 0.9853 | Val Acc: 0.9747
[2025-10-19 14:08:26] Epoch 16/60 | Train Loss: 0.0550 | Train Acc: 0.9854 | Val Acc: 0.9451
[2025-10-19 14:08:36] Epoch 17/60 | Train Loss: 0.0545 | Train Acc: 0.9863 | Val Acc: 0.9833
[2025-10-19 14:08:45] Epoch 18/60 | Train Loss: 0.0469 | Train Acc: 0.9888 | Val Acc: 0.9873
[2025-10-19 14:08:55] Epoch 19/60 | Train Loss: 0.0500 | Train Acc: 0.9877 | Val Acc: 0.9840
[2025-10-19 14:09:05] Epoch 20/60 | Train Loss: 0.0482 | Train Acc: 0.9881 | Val Acc: 0.9818
[2025-10-19 14:09:14] Epoch 21/60 | Train Loss: 0.0449 | Train Acc: 0.9895 | Val Acc: 0.9789
