[2025-10-20 06:44:58] Running experiment 'baseline_resnet32' (Baseline ResNet32 + SGD(momentum) + 기본 전처리)
[2025-10-20 06:44:58] Model: resnet32, optimizer: sgd, lr: 0.1, wd: 0.0005, epochs: 60, batch_size: 64
[2025-10-20 06:55:10] Running experiment 'baseline_resnet32' (Baseline ResNet32 + SGD(momentum) + 기본 전처리)
[2025-10-20 06:55:11] Model: resnet32, optimizer: sgd, lr: 0.1, wd: 0.0005, epochs: 60, batch_size: 64
[2025-10-20 06:55:24] Epoch 1/60 | Train Loss: 1.1207 | Train Acc: 0.6356 | Val Acc: 0.7665
[2025-10-20 06:55:36] Epoch 2/60 | Train Loss: 0.2576 | Train Acc: 0.9229 | Val Acc: 0.9119
[2025-10-20 06:55:48] Epoch 3/60 | Train Loss: 0.1156 | Train Acc: 0.9675 | Val Acc: 0.9728
[2025-10-20 06:56:01] Epoch 4/60 | Train Loss: 0.0929 | Train Acc: 0.9744 | Val Acc: 0.9798
[2025-10-20 06:56:13] Epoch 5/60 | Train Loss: 0.0912 | Train Acc: 0.9764 | Val Acc: 0.9589
[2025-10-20 06:56:26] Epoch 6/60 | Train Loss: 0.0785 | Train Acc: 0.9794 | Val Acc: 0.9778
[2025-10-20 06:56:38] Epoch 7/60 | Train Loss: 0.0767 | Train Acc: 0.9792 | Val Acc: 0.9710
[2025-10-20 06:56:51] Epoch 8/60 | Train Loss: 0.0776 | Train Acc: 0.9790 | Val Acc: 0.9747
[2025-10-20 06:57:03] Epoch 9/60 | Train Loss: 0.0731 | Train Acc: 0.9808 | Val Acc: 0.9738
[2025-10-20 06:57:16] Epoch 10/60 | Train Loss: 0.0715 | Train Acc: 0.9819 | Val Acc: 0.9563
[2025-10-20 06:57:28] Epoch 11/60 | Train Loss: 0.0705 | Train Acc: 0.9810 | Val Acc: 0.9670
[2025-10-20 06:57:41] Epoch 12/60 | Train Loss: 0.0718 | Train Acc: 0.9810 | Val Acc: 0.9532
[2025-10-20 06:57:53] Epoch 13/60 | Train Loss: 0.0649 | Train Acc: 0.9843 | Val Acc: 0.9824
[2025-10-20 06:58:05] Epoch 14/60 | Train Loss: 0.0692 | Train Acc: 0.9806 | Val Acc: 0.9585
[2025-10-20 06:58:18] Epoch 15/60 | Train Loss: 0.0659 | Train Acc: 0.9836 | Val Acc: 0.9723
[2025-10-20 06:58:30] Epoch 16/60 | Train Loss: 0.0609 | Train Acc: 0.9849 | Val Acc: 0.9416
[2025-10-20 06:58:43] Epoch 17/60 | Train Loss: 0.0612 | Train Acc: 0.9852 | Val Acc: 0.9613
[2025-10-20 06:58:55] Epoch 18/60 | Train Loss: 0.0645 | Train Acc: 0.9829 | Val Acc: 0.9745
[2025-10-20 06:59:08] Epoch 19/60 | Train Loss: 0.0606 | Train Acc: 0.9845 | Val Acc: 0.9774
[2025-10-20 06:59:20] Epoch 20/60 | Train Loss: 0.0587 | Train Acc: 0.9849 | Val Acc: 0.9833
[2025-10-20 06:59:32] Epoch 21/60 | Train Loss: 0.0577 | Train Acc: 0.9847 | Val Acc: 0.9811
[2025-10-20 06:59:45] Epoch 22/60 | Train Loss: 0.0572 | Train Acc: 0.9855 | Val Acc: 0.9844
[2025-10-20 06:59:57] Epoch 23/60 | Train Loss: 0.0563 | Train Acc: 0.9853 | Val Acc: 0.9727
[2025-10-20 07:00:10] Epoch 24/60 | Train Loss: 0.0506 | Train Acc: 0.9875 | Val Acc: 0.9785
[2025-10-20 07:00:22] Epoch 25/60 | Train Loss: 0.0524 | Train Acc: 0.9862 | Val Acc: 0.9851
[2025-10-20 07:00:34] Epoch 26/60 | Train Loss: 0.0488 | Train Acc: 0.9879 | Val Acc: 0.9756
[2025-10-20 07:00:47] Epoch 27/60 | Train Loss: 0.0502 | Train Acc: 0.9871 | Val Acc: 0.9732
[2025-10-20 07:00:59] Epoch 28/60 | Train Loss: 0.0416 | Train Acc: 0.9910 | Val Acc: 0.9693
[2025-10-20 07:01:12] Epoch 29/60 | Train Loss: 0.0447 | Train Acc: 0.9888 | Val Acc: 0.9875
[2025-10-20 07:01:24] Epoch 30/60 | Train Loss: 0.0468 | Train Acc: 0.9888 | Val Acc: 0.9811
[2025-10-20 07:01:36] Epoch 31/60 | Train Loss: 0.0456 | Train Acc: 0.9889 | Val Acc: 0.9838
[2025-10-20 07:01:49] Epoch 32/60 | Train Loss: 0.0396 | Train Acc: 0.9910 | Val Acc: 0.9853
[2025-10-20 07:02:01] Epoch 33/60 | Train Loss: 0.0400 | Train Acc: 0.9911 | Val Acc: 0.9857
[2025-10-20 07:02:14] Epoch 34/60 | Train Loss: 0.0327 | Train Acc: 0.9928 | Val Acc: 0.9818
[2025-10-20 07:02:26] Epoch 35/60 | Train Loss: 0.0352 | Train Acc: 0.9911 | Val Acc: 0.9827
[2025-10-20 07:02:38] Epoch 36/60 | Train Loss: 0.0358 | Train Acc: 0.9908 | Val Acc: 0.9800
[2025-10-20 07:02:51] Epoch 37/60 | Train Loss: 0.0308 | Train Acc: 0.9932 | Val Acc: 0.9875
[2025-10-20 07:03:03] Epoch 38/60 | Train Loss: 0.0267 | Train Acc: 0.9942 | Val Acc: 0.9892
[2025-10-20 07:03:15] Epoch 39/60 | Train Loss: 0.0239 | Train Acc: 0.9951 | Val Acc: 0.9881
[2025-10-20 07:03:28] Epoch 40/60 | Train Loss: 0.0221 | Train Acc: 0.9950 | Val Acc: 0.9837
[2025-10-20 07:03:40] Epoch 41/60 | Train Loss: 0.0222 | Train Acc: 0.9951 | Val Acc: 0.9881
[2025-10-20 07:03:52] Epoch 42/60 | Train Loss: 0.0164 | Train Acc: 0.9967 | Val Acc: 0.9892
[2025-10-20 07:04:05] Epoch 43/60 | Train Loss: 0.0125 | Train Acc: 0.9979 | Val Acc: 0.9897
[2025-10-20 07:04:17] Epoch 44/60 | Train Loss: 0.0106 | Train Acc: 0.9983 | Val Acc: 0.9892
[2025-10-20 07:04:29] Epoch 45/60 | Train Loss: 0.0101 | Train Acc: 0.9986 | Val Acc: 0.9923
[2025-10-20 07:04:42] Epoch 46/60 | Train Loss: 0.0073 | Train Acc: 0.9991 | Val Acc: 0.9927
[2025-10-20 07:04:54] Epoch 47/60 | Train Loss: 0.0065 | Train Acc: 0.9992 | Val Acc: 0.9923
[2025-10-20 07:05:06] Epoch 48/60 | Train Loss: 0.0062 | Train Acc: 0.9992 | Val Acc: 0.9923
[2025-10-20 07:05:19] Epoch 49/60 | Train Loss: 0.0055 | Train Acc: 0.9993 | Val Acc: 0.9927
[2025-10-20 07:05:31] Epoch 50/60 | Train Loss: 0.0044 | Train Acc: 0.9995 | Val Acc: 0.9925
[2025-10-20 07:05:43] Epoch 51/60 | Train Loss: 0.0039 | Train Acc: 0.9995 | Val Acc: 0.9927
[2025-10-20 07:05:56] Epoch 52/60 | Train Loss: 0.0036 | Train Acc: 0.9996 | Val Acc: 0.9934
[2025-10-20 07:06:08] Epoch 53/60 | Train Loss: 0.0031 | Train Acc: 0.9997 | Val Acc: 0.9925
[2025-10-20 07:06:20] Epoch 54/60 | Train Loss: 0.0030 | Train Acc: 0.9996 | Val Acc: 0.9932
[2025-10-20 07:06:33] Epoch 55/60 | Train Loss: 0.0027 | Train Acc: 0.9998 | Val Acc: 0.9932
[2025-10-20 07:06:45] Epoch 56/60 | Train Loss: 0.0023 | Train Acc: 0.9999 | Val Acc: 0.9928
[2025-10-20 07:06:57] Epoch 57/60 | Train Loss: 0.0027 | Train Acc: 0.9998 | Val Acc: 0.9928
[2025-10-20 07:07:10] Epoch 58/60 | Train Loss: 0.0024 | Train Acc: 0.9999 | Val Acc: 0.9930
[2025-10-20 07:07:22] Epoch 59/60 | Train Loss: 0.0023 | Train Acc: 1.0000 | Val Acc: 0.9934
[2025-10-20 07:07:34] Epoch 60/60 | Train Loss: 0.0022 | Train Acc: 0.9999 | Val Acc: 0.9930
