[2025-10-19 14:37:59] Running experiment 'superres_tta_resnet20' (고해상도 학습 + 다중 스케일 TTA)
[2025-10-19 14:37:59] Hard example sampler requested but no matching samples found; falling back to shuffle.
[2025-10-19 14:37:59] Model: resnet20, optimizer: adamw, lr: 0.0007, wd: 0.0003, epochs: 60, batch_size: 64
[2025-10-19 14:38:21] Epoch 1/60 | Train Loss: 1.2140 | Train Acc: 0.6133 | Val Acc: 0.7348
[2025-10-19 14:38:42] Epoch 2/60 | Train Loss: 0.4668 | Train Acc: 0.8769 | Val Acc: 0.8390
[2025-10-19 14:39:03] Epoch 3/60 | Train Loss: 0.2840 | Train Acc: 0.9239 | Val Acc: 0.9064
[2025-10-19 14:39:24] Epoch 4/60 | Train Loss: 0.2231 | Train Acc: 0.9392 | Val Acc: 0.9534
[2025-10-19 14:39:45] Epoch 5/60 | Train Loss: 0.1869 | Train Acc: 0.9482 | Val Acc: 0.9459
[2025-10-19 14:40:06] Epoch 6/60 | Train Loss: 0.1643 | Train Acc: 0.9528 | Val Acc: 0.9488
[2025-10-19 14:40:28] Epoch 7/60 | Train Loss: 0.1540 | Train Acc: 0.9567 | Val Acc: 0.9677
[2025-10-19 14:40:49] Epoch 8/60 | Train Loss: 0.1455 | Train Acc: 0.9594 | Val Acc: 0.9697
[2025-10-19 14:41:11] Epoch 9/60 | Train Loss: 0.1406 | Train Acc: 0.9601 | Val Acc: 0.9655
[2025-10-19 14:41:33] Epoch 10/60 | Train Loss: 0.1316 | Train Acc: 0.9626 | Val Acc: 0.9359
[2025-10-19 14:41:54] Epoch 11/60 | Train Loss: 0.1238 | Train Acc: 0.9644 | Val Acc: 0.9706
[2025-10-19 14:42:16] Epoch 12/60 | Train Loss: 0.1176 | Train Acc: 0.9660 | Val Acc: 0.9664
[2025-10-19 14:42:37] Epoch 13/60 | Train Loss: 0.1189 | Train Acc: 0.9667 | Val Acc: 0.9668
[2025-10-19 14:42:59] Epoch 14/60 | Train Loss: 0.1082 | Train Acc: 0.9703 | Val Acc: 0.9739
[2025-10-19 14:43:21] Epoch 15/60 | Train Loss: 0.1040 | Train Acc: 0.9710 | Val Acc: 0.9754
[2025-10-19 14:43:42] Epoch 16/60 | Train Loss: 0.1072 | Train Acc: 0.9703 | Val Acc: 0.9693
[2025-10-19 14:44:04] Epoch 17/60 | Train Loss: 0.0989 | Train Acc: 0.9713 | Val Acc: 0.9813
[2025-10-19 14:44:26] Epoch 18/60 | Train Loss: 0.0986 | Train Acc: 0.9728 | Val Acc: 0.9765
[2025-10-19 14:44:47] Epoch 19/60 | Train Loss: 0.0922 | Train Acc: 0.9748 | Val Acc: 0.9765
[2025-10-19 14:45:09] Epoch 20/60 | Train Loss: 0.0913 | Train Acc: 0.9739 | Val Acc: 0.9824
[2025-10-19 14:45:30] Epoch 21/60 | Train Loss: 0.0879 | Train Acc: 0.9765 | Val Acc: 0.9754
[2025-10-19 14:45:52] Epoch 22/60 | Train Loss: 0.0847 | Train Acc: 0.9765 | Val Acc: 0.9794
[2025-10-19 14:46:14] Epoch 23/60 | Train Loss: 0.0827 | Train Acc: 0.9760 | Val Acc: 0.9769
[2025-10-19 14:46:36] Epoch 24/60 | Train Loss: 0.0833 | Train Acc: 0.9776 | Val Acc: 0.9800
[2025-10-19 14:46:57] Epoch 25/60 | Train Loss: 0.0773 | Train Acc: 0.9789 | Val Acc: 0.9785
[2025-10-19 14:47:19] Epoch 26/60 | Train Loss: 0.0761 | Train Acc: 0.9789 | Val Acc: 0.9780
[2025-10-19 14:47:40] Epoch 27/60 | Train Loss: 0.0731 | Train Acc: 0.9795 | Val Acc: 0.9838
[2025-10-19 14:48:02] Epoch 28/60 | Train Loss: 0.0659 | Train Acc: 0.9822 | Val Acc: 0.9682
[2025-10-19 14:48:24] Epoch 29/60 | Train Loss: 0.0684 | Train Acc: 0.9809 | Val Acc: 0.9816
[2025-10-19 14:48:45] Epoch 30/60 | Train Loss: 0.0672 | Train Acc: 0.9818 | Val Acc: 0.9794
[2025-10-19 14:49:07] Epoch 31/60 | Train Loss: 0.0622 | Train Acc: 0.9827 | Val Acc: 0.9816
[2025-10-19 14:49:29] Epoch 32/60 | Train Loss: 0.0611 | Train Acc: 0.9831 | Val Acc: 0.9842
[2025-10-19 14:49:50] Epoch 33/60 | Train Loss: 0.0605 | Train Acc: 0.9841 | Val Acc: 0.9849
[2025-10-19 14:50:12] Epoch 34/60 | Train Loss: 0.0551 | Train Acc: 0.9860 | Val Acc: 0.9844
[2025-10-19 14:50:34] Epoch 35/60 | Train Loss: 0.0539 | Train Acc: 0.9855 | Val Acc: 0.9851
[2025-10-19 14:50:55] Epoch 36/60 | Train Loss: 0.0542 | Train Acc: 0.9848 | Val Acc: 0.9859
[2025-10-19 14:51:17] Epoch 37/60 | Train Loss: 0.0536 | Train Acc: 0.9858 | Val Acc: 0.9851
[2025-10-19 14:51:39] Epoch 38/60 | Train Loss: 0.0489 | Train Acc: 0.9877 | Val Acc: 0.9862
[2025-10-19 14:52:00] Epoch 39/60 | Train Loss: 0.0461 | Train Acc: 0.9877 | Val Acc: 0.9853
[2025-10-19 14:52:22] Epoch 40/60 | Train Loss: 0.0443 | Train Acc: 0.9883 | Val Acc: 0.9827
[2025-10-19 14:52:44] Epoch 41/60 | Train Loss: 0.0446 | Train Acc: 0.9877 | Val Acc: 0.9853
[2025-10-19 14:53:05] Epoch 42/60 | Train Loss: 0.0402 | Train Acc: 0.9890 | Val Acc: 0.9853
[2025-10-19 14:53:27] Epoch 43/60 | Train Loss: 0.0380 | Train Acc: 0.9904 | Val Acc: 0.9848
[2025-10-19 14:53:49] Epoch 44/60 | Train Loss: 0.0376 | Train Acc: 0.9906 | Val Acc: 0.9851
[2025-10-19 14:54:10] Epoch 45/60 | Train Loss: 0.0375 | Train Acc: 0.9902 | Val Acc: 0.9864
[2025-10-19 14:54:32] Epoch 46/60 | Train Loss: 0.0336 | Train Acc: 0.9908 | Val Acc: 0.9872
[2025-10-19 14:54:54] Epoch 47/60 | Train Loss: 0.0334 | Train Acc: 0.9915 | Val Acc: 0.9864
[2025-10-19 14:55:15] Epoch 48/60 | Train Loss: 0.0294 | Train Acc: 0.9918 | Val Acc: 0.9851
[2025-10-19 14:55:37] Epoch 49/60 | Train Loss: 0.0311 | Train Acc: 0.9921 | Val Acc: 0.9857
[2025-10-19 14:55:58] Epoch 50/60 | Train Loss: 0.0294 | Train Acc: 0.9921 | Val Acc: 0.9860
[2025-10-19 14:56:20] Epoch 51/60 | Train Loss: 0.0284 | Train Acc: 0.9930 | Val Acc: 0.9868
[2025-10-19 14:56:42] Epoch 52/60 | Train Loss: 0.0293 | Train Acc: 0.9925 | Val Acc: 0.9870
[2025-10-19 14:57:03] Epoch 53/60 | Train Loss: 0.0281 | Train Acc: 0.9923 | Val Acc: 0.9855
