[2025-11-16 09:21:14] Running experiment 'data_focus_sampler_resnet32' (Explicit hard-sample oversampling + class-weighted loss.)
[2025-11-16 09:21:14] Weighted sampler enabled: matched 6895 focus samples.
[2025-11-16 09:21:14] Class weights applied (focus_factor=2.5): ['0.17', '0.57', '0.49', '0.48', '1.18', '1.07', '0.59', '1.61', '1.25', '2.60']
[2025-11-16 09:21:44] Epoch 1/60 | Loss 2.3192 | Train Acc 0.1280 | Val Acc 0.1468
[2025-11-16 09:22:13] Epoch 2/60 | Loss 1.1602 | Train Acc 0.6197 | Val Acc 0.8438
[2025-11-16 09:22:42] Epoch 3/60 | Loss 0.4311 | Train Acc 0.8827 | Val Acc 0.8352
[2025-11-16 09:23:11] Epoch 4/60 | Loss 0.3706 | Train Acc 0.8978 | Val Acc 0.9115
[2025-11-16 09:23:40] Epoch 5/60 | Loss 0.3033 | Train Acc 0.9191 | Val Acc 0.8414
[2025-11-16 09:24:08] Epoch 6/60 | Loss 0.2835 | Train Acc 0.9256 | Val Acc 0.8438
[2025-11-16 09:24:37] Epoch 7/60 | Loss 0.2603 | Train Acc 0.9307 | Val Acc 0.7438
[2025-11-16 09:25:05] Epoch 8/60 | Loss 0.2599 | Train Acc 0.9275 | Val Acc 0.7443
[2025-11-16 09:25:34] Epoch 9/60 | Loss 0.2634 | Train Acc 0.9272 | Val Acc 0.8104
[2025-11-16 09:26:03] Epoch 10/60 | Loss 0.2570 | Train Acc 0.9322 | Val Acc 0.7588
[2025-11-16 09:26:32] Epoch 11/60 | Loss 0.2505 | Train Acc 0.9313 | Val Acc 0.8210
[2025-11-16 09:27:01] Epoch 12/60 | Loss 0.2417 | Train Acc 0.9361 | Val Acc 0.8392
[2025-11-16 09:27:30] Epoch 13/60 | Loss 0.2280 | Train Acc 0.9373 | Val Acc 0.8453
[2025-11-16 09:27:59] Epoch 14/60 | Loss 0.2212 | Train Acc 0.9420 | Val Acc 0.9051
[2025-11-16 09:28:28] Epoch 15/60 | Loss 0.2413 | Train Acc 0.9340 | Val Acc 0.9091
[2025-11-16 09:28:57] Epoch 16/60 | Loss 0.2238 | Train Acc 0.9409 | Val Acc 0.8800
[2025-11-16 09:29:27] Epoch 17/60 | Loss 0.2102 | Train Acc 0.9417 | Val Acc 0.8754
[2025-11-16 09:29:55] Epoch 18/60 | Loss 0.2232 | Train Acc 0.9429 | Val Acc 0.8493
[2025-11-16 09:30:23] Epoch 19/60 | Loss 0.2123 | Train Acc 0.9448 | Val Acc 0.8869
[2025-11-16 09:30:51] Epoch 20/60 | Loss 0.2052 | Train Acc 0.9429 | Val Acc 0.8726
[2025-11-16 09:31:19] Epoch 21/60 | Loss 0.2028 | Train Acc 0.9486 | Val Acc 0.9018
[2025-11-16 09:31:48] Epoch 22/60 | Loss 0.1987 | Train Acc 0.9462 | Val Acc 0.8477
[2025-11-16 09:32:17] Epoch 23/60 | Loss 0.2072 | Train Acc 0.9442 | Val Acc 0.8510
[2025-11-16 09:32:46] Epoch 24/60 | Loss 0.1795 | Train Acc 0.9515 | Val Acc 0.6527
[2025-11-16 09:33:15] Epoch 25/60 | Loss 0.1880 | Train Acc 0.9485 | Val Acc 0.8588
[2025-11-16 09:33:43] Epoch 26/60 | Loss 0.1776 | Train Acc 0.9528 | Val Acc 0.8855
[2025-11-16 09:34:12] Epoch 27/60 | Loss 0.1707 | Train Acc 0.9527 | Val Acc 0.8511
[2025-11-16 09:34:41] Epoch 28/60 | Loss 0.1684 | Train Acc 0.9523 | Val Acc 0.8667
[2025-11-16 09:35:11] Epoch 29/60 | Loss 0.1691 | Train Acc 0.9530 | Val Acc 0.8526
[2025-11-16 09:35:39] Epoch 30/60 | Loss 0.1580 | Train Acc 0.9562 | Val Acc 0.8513
[2025-11-16 09:36:07] Epoch 31/60 | Loss 0.1436 | Train Acc 0.9612 | Val Acc 0.9014
[2025-11-16 09:36:35] Epoch 32/60 | Loss 0.1614 | Train Acc 0.9575 | Val Acc 0.9066
[2025-11-16 09:37:03] Epoch 33/60 | Loss 0.1438 | Train Acc 0.9592 | Val Acc 0.8829
[2025-11-16 09:37:31] Epoch 34/60 | Loss 0.1255 | Train Acc 0.9645 | Val Acc 0.9339
[2025-11-16 09:38:00] Epoch 35/60 | Loss 0.1319 | Train Acc 0.9641 | Val Acc 0.8866
[2025-11-16 09:38:29] Epoch 36/60 | Loss 0.1297 | Train Acc 0.9642 | Val Acc 0.8675
[2025-11-16 09:38:59] Epoch 37/60 | Loss 0.1305 | Train Acc 0.9665 | Val Acc 0.8917
[2025-11-16 09:39:28] Epoch 38/60 | Loss 0.1059 | Train Acc 0.9720 | Val Acc 0.8965
[2025-11-16 09:39:57] Epoch 39/60 | Loss 0.1058 | Train Acc 0.9713 | Val Acc 0.7438
[2025-11-16 09:40:26] Epoch 40/60 | Loss 0.1073 | Train Acc 0.9691 | Val Acc 0.9023
[2025-11-16 09:40:54] Epoch 41/60 | Loss 0.0987 | Train Acc 0.9721 | Val Acc 0.9071
[2025-11-16 09:41:24] Epoch 42/60 | Loss 0.0986 | Train Acc 0.9729 | Val Acc 0.9269
