[2025-11-16 08:14:15] Running experiment 'data_light_aug_resnet32' (Light aug baseline to gauge reference performance.)
[2025-11-16 08:14:30] Epoch 1/60 | Loss 0.8339 | Train Acc 0.7305 | Val Acc 0.9268
[2025-11-16 08:14:43] Epoch 2/60 | Loss 0.1434 | Train Acc 0.9598 | Val Acc 0.9715
[2025-11-16 08:14:58] Epoch 3/60 | Loss 0.1066 | Train Acc 0.9698 | Val Acc 0.9750
[2025-11-16 08:15:11] Epoch 4/60 | Loss 0.0970 | Train Acc 0.9737 | Val Acc 0.9754
[2025-11-16 08:15:24] Epoch 5/60 | Loss 0.0956 | Train Acc 0.9738 | Val Acc 0.9725
[2025-11-16 08:15:37] Epoch 6/60 | Loss 0.0885 | Train Acc 0.9753 | Val Acc 0.9756
[2025-11-16 08:15:51] Epoch 7/60 | Loss 0.0844 | Train Acc 0.9783 | Val Acc 0.9789
[2025-11-16 08:16:04] Epoch 8/60 | Loss 0.0860 | Train Acc 0.9767 | Val Acc 0.9732
[2025-11-16 08:16:18] Epoch 9/60 | Loss 0.0849 | Train Acc 0.9769 | Val Acc 0.9743
[2025-11-16 08:16:32] Epoch 10/60 | Loss 0.0807 | Train Acc 0.9788 | Val Acc 0.9205
[2025-11-16 08:16:46] Epoch 11/60 | Loss 0.0874 | Train Acc 0.9760 | Val Acc 0.9600
[2025-11-16 08:17:00] Epoch 12/60 | Loss 0.0850 | Train Acc 0.9763 | Val Acc 0.9816
[2025-11-16 08:17:13] Epoch 13/60 | Loss 0.0745 | Train Acc 0.9801 | Val Acc 0.9697
[2025-11-16 08:17:27] Epoch 14/60 | Loss 0.0758 | Train Acc 0.9797 | Val Acc 0.9436
[2025-11-16 08:17:40] Epoch 15/60 | Loss 0.0761 | Train Acc 0.9796 | Val Acc 0.9455
[2025-11-16 08:17:54] Epoch 16/60 | Loss 0.0758 | Train Acc 0.9793 | Val Acc 0.9782
[2025-11-16 08:18:07] Epoch 17/60 | Loss 0.0734 | Train Acc 0.9800 | Val Acc 0.9791
[2025-11-16 08:18:21] Epoch 18/60 | Loss 0.0701 | Train Acc 0.9807 | Val Acc 0.9761
[2025-11-16 08:18:34] Epoch 19/60 | Loss 0.0733 | Train Acc 0.9810 | Val Acc 0.9455
[2025-11-16 08:18:48] Epoch 20/60 | Loss 0.0694 | Train Acc 0.9820 | Val Acc 0.9035
[2025-11-16 08:19:01] Epoch 21/60 | Loss 0.0657 | Train Acc 0.9822 | Val Acc 0.9745
[2025-11-16 08:19:14] Epoch 22/60 | Loss 0.0637 | Train Acc 0.9842 | Val Acc 0.9783
[2025-11-16 08:19:28] Epoch 23/60 | Loss 0.0679 | Train Acc 0.9824 | Val Acc 0.9611
[2025-11-16 08:19:41] Epoch 24/60 | Loss 0.0628 | Train Acc 0.9831 | Val Acc 0.9653
[2025-11-16 08:19:55] Epoch 25/60 | Loss 0.0630 | Train Acc 0.9838 | Val Acc 0.9846
[2025-11-16 08:20:09] Epoch 26/60 | Loss 0.0626 | Train Acc 0.9834 | Val Acc 0.9862
[2025-11-16 08:20:23] Epoch 27/60 | Loss 0.0556 | Train Acc 0.9858 | Val Acc 0.9842
[2025-11-16 08:20:37] Epoch 28/60 | Loss 0.0580 | Train Acc 0.9848 | Val Acc 0.9793
[2025-11-16 08:20:51] Epoch 29/60 | Loss 0.0546 | Train Acc 0.9864 | Val Acc 0.9629
[2025-11-16 08:21:05] Epoch 30/60 | Loss 0.0530 | Train Acc 0.9864 | Val Acc 0.9849
[2025-11-16 08:21:18] Epoch 31/60 | Loss 0.0507 | Train Acc 0.9873 | Val Acc 0.9875
[2025-11-16 08:21:32] Epoch 32/60 | Loss 0.0495 | Train Acc 0.9876 | Val Acc 0.9727
[2025-11-16 08:21:46] Epoch 33/60 | Loss 0.0462 | Train Acc 0.9889 | Val Acc 0.9826
[2025-11-16 08:21:59] Epoch 34/60 | Loss 0.0456 | Train Acc 0.9886 | Val Acc 0.9747
[2025-11-16 08:22:12] Epoch 35/60 | Loss 0.0486 | Train Acc 0.9881 | Val Acc 0.9657
[2025-11-16 08:22:26] Epoch 36/60 | Loss 0.0464 | Train Acc 0.9882 | Val Acc 0.9837
[2025-11-16 08:22:39] Epoch 37/60 | Loss 0.0413 | Train Acc 0.9894 | Val Acc 0.9890
[2025-11-16 08:22:54] Epoch 38/60 | Loss 0.0384 | Train Acc 0.9910 | Val Acc 0.9855
[2025-11-16 08:23:08] Epoch 39/60 | Loss 0.0342 | Train Acc 0.9926 | Val Acc 0.9873
[2025-11-16 08:23:21] Epoch 40/60 | Loss 0.0322 | Train Acc 0.9923 | Val Acc 0.9870
[2025-11-16 08:23:34] Epoch 41/60 | Loss 0.0316 | Train Acc 0.9928 | Val Acc 0.9771
[2025-11-16 08:23:48] Epoch 42/60 | Loss 0.0301 | Train Acc 0.9933 | Val Acc 0.9859
[2025-11-16 08:24:01] Epoch 43/60 | Loss 0.0274 | Train Acc 0.9944 | Val Acc 0.9888
[2025-11-16 08:24:15] Epoch 44/60 | Loss 0.0237 | Train Acc 0.9951 | Val Acc 0.9899
[2025-11-16 08:24:29] Epoch 45/60 | Loss 0.0208 | Train Acc 0.9958 | Val Acc 0.9903
[2025-11-16 08:24:43] Epoch 46/60 | Loss 0.0184 | Train Acc 0.9968 | Val Acc 0.9894
[2025-11-16 08:24:57] Epoch 47/60 | Loss 0.0157 | Train Acc 0.9970 | Val Acc 0.9903
[2025-11-16 08:25:11] Epoch 48/60 | Loss 0.0151 | Train Acc 0.9973 | Val Acc 0.9901
[2025-11-16 08:25:26] Epoch 49/60 | Loss 0.0113 | Train Acc 0.9983 | Val Acc 0.9894
[2025-11-16 08:25:39] Epoch 50/60 | Loss 0.0103 | Train Acc 0.9984 | Val Acc 0.9917
[2025-11-16 08:25:53] Epoch 51/60 | Loss 0.0087 | Train Acc 0.9984 | Val Acc 0.9919
[2025-11-16 08:26:06] Epoch 52/60 | Loss 0.0089 | Train Acc 0.9986 | Val Acc 0.9921
[2025-11-16 08:26:19] Epoch 53/60 | Loss 0.0075 | Train Acc 0.9989 | Val Acc 0.9917
[2025-11-16 08:26:33] Epoch 54/60 | Loss 0.0060 | Train Acc 0.9993 | Val Acc 0.9930
[2025-11-16 08:26:46] Epoch 55/60 | Loss 0.0056 | Train Acc 0.9993 | Val Acc 0.9925
[2025-11-16 08:27:00] Epoch 56/60 | Loss 0.0059 | Train Acc 0.9993 | Val Acc 0.9930
[2025-11-16 08:27:13] Epoch 57/60 | Loss 0.0057 | Train Acc 0.9993 | Val Acc 0.9928
[2025-11-16 08:27:27] Epoch 58/60 | Loss 0.0056 | Train Acc 0.9994 | Val Acc 0.9930
[2025-11-16 08:27:40] Epoch 59/60 | Loss 0.0054 | Train Acc 0.9992 | Val Acc 0.9930
[2025-11-16 08:27:53] Epoch 60/60 | Loss 0.0045 | Train Acc 0.9995 | Val Acc 0.9932
[2025-11-16 08:27:55] Finished experiment 'data_light_aug_resnet32' | Best Val Acc 0.9932 | Eval Overall 0.9932 | Small 0.9882525697503671 | Noisy 0.9848254931714719
