[2025-11-16 08:27:55] Running experiment 'data_medium_aug_resnet32' (Medium augmentation for balanced robustness.)
[2025-11-16 08:28:12] Epoch 1/60 | Loss 1.4314 | Train Acc 0.5318 | Val Acc 0.7566
[2025-11-16 08:28:28] Epoch 2/60 | Loss 0.3384 | Train Acc 0.8993 | Val Acc 0.8994
[2025-11-16 08:28:45] Epoch 3/60 | Loss 0.2108 | Train Acc 0.9393 | Val Acc 0.9543
[2025-11-16 08:29:03] Epoch 4/60 | Loss 0.1810 | Train Acc 0.9478 | Val Acc 0.9587
[2025-11-16 08:29:20] Epoch 5/60 | Loss 0.1646 | Train Acc 0.9531 | Val Acc 0.9014
[2025-11-16 08:29:36] Epoch 6/60 | Loss 0.1472 | Train Acc 0.9591 | Val Acc 0.9655
[2025-11-16 08:29:52] Epoch 7/60 | Loss 0.1457 | Train Acc 0.9572 | Val Acc 0.9214
[2025-11-16 08:30:09] Epoch 8/60 | Loss 0.1399 | Train Acc 0.9591 | Val Acc 0.9071
[2025-11-16 08:30:25] Epoch 9/60 | Loss 0.1438 | Train Acc 0.9589 | Val Acc 0.9359
[2025-11-16 08:30:42] Epoch 10/60 | Loss 0.1339 | Train Acc 0.9622 | Val Acc 0.7986
[2025-11-16 08:30:58] Epoch 11/60 | Loss 0.1324 | Train Acc 0.9620 | Val Acc 0.8851
[2025-11-16 08:31:16] Epoch 12/60 | Loss 0.1285 | Train Acc 0.9633 | Val Acc 0.8576
[2025-11-16 08:31:35] Epoch 13/60 | Loss 0.1295 | Train Acc 0.9643 | Val Acc 0.8664
[2025-11-16 08:31:54] Epoch 14/60 | Loss 0.1246 | Train Acc 0.9642 | Val Acc 0.8416
[2025-11-16 08:32:11] Epoch 15/60 | Loss 0.1263 | Train Acc 0.9642 | Val Acc 0.9525
[2025-11-16 08:32:27] Epoch 16/60 | Loss 0.1311 | Train Acc 0.9624 | Val Acc 0.8695
[2025-11-16 08:32:43] Epoch 17/60 | Loss 0.1224 | Train Acc 0.9657 | Val Acc 0.7564
[2025-11-16 08:32:59] Epoch 18/60 | Loss 0.1183 | Train Acc 0.9665 | Val Acc 0.8796
[2025-11-16 08:33:16] Epoch 19/60 | Loss 0.1181 | Train Acc 0.9668 | Val Acc 0.9387
[2025-11-16 08:33:32] Epoch 20/60 | Loss 0.1136 | Train Acc 0.9678 | Val Acc 0.9253
[2025-11-16 08:33:48] Epoch 21/60 | Loss 0.1165 | Train Acc 0.9676 | Val Acc 0.9124
[2025-11-16 08:34:08] Epoch 22/60 | Loss 0.1092 | Train Acc 0.9700 | Val Acc 0.8803
[2025-11-16 08:34:37] Epoch 23/60 | Loss 0.1147 | Train Acc 0.9675 | Val Acc 0.7485
[2025-11-16 08:35:07] Epoch 24/60 | Loss 0.1052 | Train Acc 0.9698 | Val Acc 0.9016
[2025-11-16 08:35:36] Epoch 25/60 | Loss 0.1043 | Train Acc 0.9712 | Val Acc 0.9141
[2025-11-16 08:36:05] Epoch 26/60 | Loss 0.1048 | Train Acc 0.9711 | Val Acc 0.8418
[2025-11-16 08:36:34] Epoch 27/60 | Loss 0.0959 | Train Acc 0.9731 | Val Acc 0.9369
[2025-11-16 08:37:03] Epoch 28/60 | Loss 0.0966 | Train Acc 0.9746 | Val Acc 0.8781
[2025-11-16 08:37:32] Epoch 29/60 | Loss 0.0938 | Train Acc 0.9731 | Val Acc 0.8486
[2025-11-16 08:38:01] Epoch 30/60 | Loss 0.0937 | Train Acc 0.9737 | Val Acc 0.9003
[2025-11-16 08:38:31] Epoch 31/60 | Loss 0.0847 | Train Acc 0.9768 | Val Acc 0.8967
[2025-11-16 08:38:58] Epoch 32/60 | Loss 0.0917 | Train Acc 0.9746 | Val Acc 0.8934
[2025-11-16 08:39:27] Epoch 33/60 | Loss 0.0841 | Train Acc 0.9773 | Val Acc 0.9247
[2025-11-16 08:39:55] Epoch 34/60 | Loss 0.0828 | Train Acc 0.9772 | Val Acc 0.8886
[2025-11-16 08:40:23] Epoch 35/60 | Loss 0.0779 | Train Acc 0.9788 | Val Acc 0.9027
[2025-11-16 08:40:52] Epoch 36/60 | Loss 0.0778 | Train Acc 0.9793 | Val Acc 0.8864
[2025-11-16 08:41:21] Epoch 37/60 | Loss 0.0727 | Train Acc 0.9802 | Val Acc 0.9088
[2025-11-16 08:41:51] Epoch 38/60 | Loss 0.0680 | Train Acc 0.9810 | Val Acc 0.9246
[2025-11-16 08:42:20] Epoch 39/60 | Loss 0.0667 | Train Acc 0.9811 | Val Acc 0.9301
[2025-11-16 08:42:49] Epoch 40/60 | Loss 0.0675 | Train Acc 0.9821 | Val Acc 0.9220
[2025-11-16 08:43:18] Epoch 41/60 | Loss 0.0596 | Train Acc 0.9845 | Val Acc 0.9332
[2025-11-16 08:43:47] Epoch 42/60 | Loss 0.0567 | Train Acc 0.9847 | Val Acc 0.9099
[2025-11-16 08:44:16] Epoch 43/60 | Loss 0.0552 | Train Acc 0.9855 | Val Acc 0.9321
[2025-11-16 08:44:45] Epoch 44/60 | Loss 0.0500 | Train Acc 0.9870 | Val Acc 0.9492
[2025-11-16 08:45:13] Epoch 45/60 | Loss 0.0492 | Train Acc 0.9872 | Val Acc 0.9172
