[2025-11-16 08:52:21] Running experiment 'data_strong_aug_resnet32' (Strong aug with focus sampler to stress-test realism.)
[2025-11-16 08:52:21] Weighted sampler enabled: matched 6895 focus samples.
[2025-11-16 08:52:50] Epoch 1/60 | Loss 1.6858 | Train Acc 0.4389 | Val Acc 0.6046
[2025-11-16 08:53:19] Epoch 2/60 | Loss 0.6874 | Train Acc 0.7854 | Val Acc 0.9170
[2025-11-16 08:53:47] Epoch 3/60 | Loss 0.4363 | Train Acc 0.8686 | Val Acc 0.8721
[2025-11-16 08:54:16] Epoch 4/60 | Loss 0.3560 | Train Acc 0.8918 | Val Acc 0.9387
[2025-11-16 08:54:43] Epoch 5/60 | Loss 0.3208 | Train Acc 0.9026 | Val Acc 0.8495
[2025-11-16 08:55:13] Epoch 6/60 | Loss 0.2879 | Train Acc 0.9105 | Val Acc 0.9271
[2025-11-16 08:55:42] Epoch 7/60 | Loss 0.2877 | Train Acc 0.9160 | Val Acc 0.7483
[2025-11-16 08:56:11] Epoch 8/60 | Loss 0.2664 | Train Acc 0.9189 | Val Acc 0.8783
[2025-11-16 08:56:40] Epoch 9/60 | Loss 0.2572 | Train Acc 0.9200 | Val Acc 0.9174
[2025-11-16 08:57:09] Epoch 10/60 | Loss 0.2564 | Train Acc 0.9209 | Val Acc 0.9216
[2025-11-16 08:57:39] Epoch 11/60 | Loss 0.2595 | Train Acc 0.9223 | Val Acc 0.9330
[2025-11-16 08:58:08] Epoch 12/60 | Loss 0.2451 | Train Acc 0.9247 | Val Acc 0.9290
[2025-11-16 08:58:37] Epoch 13/60 | Loss 0.2445 | Train Acc 0.9268 | Val Acc 0.9231
[2025-11-16 08:59:06] Epoch 14/60 | Loss 0.2511 | Train Acc 0.9254 | Val Acc 0.7324
[2025-11-16 08:59:34] Epoch 15/60 | Loss 0.2328 | Train Acc 0.9297 | Val Acc 0.9589
[2025-11-16 09:00:02] Epoch 16/60 | Loss 0.2374 | Train Acc 0.9282 | Val Acc 0.9413
[2025-11-16 09:00:31] Epoch 17/60 | Loss 0.2295 | Train Acc 0.9309 | Val Acc 0.9459
[2025-11-16 09:00:59] Epoch 18/60 | Loss 0.2253 | Train Acc 0.9306 | Val Acc 0.9093
[2025-11-16 09:01:28] Epoch 19/60 | Loss 0.2187 | Train Acc 0.9373 | Val Acc 0.6922
[2025-11-16 09:01:57] Epoch 20/60 | Loss 0.2111 | Train Acc 0.9359 | Val Acc 0.9536
[2025-11-16 09:02:26] Epoch 21/60 | Loss 0.2150 | Train Acc 0.9357 | Val Acc 0.9350
[2025-11-16 09:02:55] Epoch 22/60 | Loss 0.2158 | Train Acc 0.9357 | Val Acc 0.9029
[2025-11-16 09:03:24] Epoch 23/60 | Loss 0.2021 | Train Acc 0.9400 | Val Acc 0.8412
[2025-11-16 09:03:54] Epoch 24/60 | Loss 0.2103 | Train Acc 0.9366 | Val Acc 0.9242
[2025-11-16 09:04:23] Epoch 25/60 | Loss 0.1977 | Train Acc 0.9420 | Val Acc 0.7550
[2025-11-16 09:04:52] Epoch 26/60 | Loss 0.1945 | Train Acc 0.9417 | Val Acc 0.8488
[2025-11-16 09:05:21] Epoch 27/60 | Loss 0.1972 | Train Acc 0.9419 | Val Acc 0.9040
[2025-11-16 09:05:49] Epoch 28/60 | Loss 0.1803 | Train Acc 0.9448 | Val Acc 0.8884
[2025-11-16 09:06:17] Epoch 29/60 | Loss 0.1864 | Train Acc 0.9461 | Val Acc 0.9062
[2025-11-16 09:06:45] Epoch 30/60 | Loss 0.1743 | Train Acc 0.9494 | Val Acc 0.9126
[2025-11-16 09:07:14] Epoch 31/60 | Loss 0.1717 | Train Acc 0.9489 | Val Acc 0.9361
[2025-11-16 09:07:43] Epoch 32/60 | Loss 0.1753 | Train Acc 0.9478 | Val Acc 0.9526
[2025-11-16 09:08:12] Epoch 33/60 | Loss 0.1628 | Train Acc 0.9527 | Val Acc 0.9304
[2025-11-16 09:08:41] Epoch 34/60 | Loss 0.1691 | Train Acc 0.9496 | Val Acc 0.8768
[2025-11-16 09:09:10] Epoch 35/60 | Loss 0.1570 | Train Acc 0.9537 | Val Acc 0.9269
[2025-11-16 09:09:39] Epoch 36/60 | Loss 0.1488 | Train Acc 0.9562 | Val Acc 0.9543
[2025-11-16 09:10:08] Epoch 37/60 | Loss 0.1573 | Train Acc 0.9535 | Val Acc 0.9240
[2025-11-16 09:10:37] Epoch 38/60 | Loss 0.1529 | Train Acc 0.9558 | Val Acc 0.9271
[2025-11-16 09:11:06] Epoch 39/60 | Loss 0.1379 | Train Acc 0.9588 | Val Acc 0.9585
[2025-11-16 09:11:35] Epoch 40/60 | Loss 0.1342 | Train Acc 0.9589 | Val Acc 0.9367
[2025-11-16 09:12:03] Epoch 41/60 | Loss 0.1208 | Train Acc 0.9645 | Val Acc 0.9200
[2025-11-16 09:12:31] Epoch 42/60 | Loss 0.1276 | Train Acc 0.9629 | Val Acc 0.9563
[2025-11-16 09:12:59] Epoch 43/60 | Loss 0.1157 | Train Acc 0.9660 | Val Acc 0.9398
