[2025-11-16 14:09:34] Running experiment 'loss_ce_cosine' (CrossEntropy + Cosine LR baseline.)
[2025-11-16 14:10:03] Epoch 1/60 | Loss 0.8601 | Train Acc 0.7219 | Val Acc 0.8522
[2025-11-16 14:10:33] Epoch 2/60 | Loss 0.1693 | Train Acc 0.9521 | Val Acc 0.8638
[2025-11-16 14:11:02] Epoch 3/60 | Loss 0.1157 | Train Acc 0.9676 | Val Acc 0.9679
[2025-11-16 14:11:31] Epoch 4/60 | Loss 0.1009 | Train Acc 0.9717 | Val Acc 0.9552
[2025-11-16 14:12:00] Epoch 5/60 | Loss 0.0947 | Train Acc 0.9737 | Val Acc 0.9455
[2025-11-16 14:12:29] Epoch 6/60 | Loss 0.0960 | Train Acc 0.9728 | Val Acc 0.9049
[2025-11-16 14:12:58] Epoch 7/60 | Loss 0.0907 | Train Acc 0.9755 | Val Acc 0.8631
[2025-11-16 14:13:27] Epoch 8/60 | Loss 0.0885 | Train Acc 0.9750 | Val Acc 0.8449
[2025-11-16 14:13:56] Epoch 9/60 | Loss 0.0908 | Train Acc 0.9760 | Val Acc 0.8983
[2025-11-16 14:14:24] Epoch 10/60 | Loss 0.0842 | Train Acc 0.9769 | Val Acc 0.8587
[2025-11-16 14:14:52] Epoch 11/60 | Loss 0.0857 | Train Acc 0.9763 | Val Acc 0.9712
[2025-11-16 14:15:20] Epoch 12/60 | Loss 0.0818 | Train Acc 0.9782 | Val Acc 0.7985
[2025-11-16 14:15:49] Epoch 13/60 | Loss 0.0822 | Train Acc 0.9784 | Val Acc 0.9648
[2025-11-16 14:16:18] Epoch 14/60 | Loss 0.0802 | Train Acc 0.9789 | Val Acc 0.8344
[2025-11-16 14:16:47] Epoch 15/60 | Loss 0.0816 | Train Acc 0.9779 | Val Acc 0.9466
[2025-11-16 14:17:16] Epoch 16/60 | Loss 0.0746 | Train Acc 0.9797 | Val Acc 0.9750
[2025-11-16 14:17:45] Epoch 17/60 | Loss 0.0757 | Train Acc 0.9789 | Val Acc 0.8702
[2025-11-16 14:18:14] Epoch 18/60 | Loss 0.0741 | Train Acc 0.9802 | Val Acc 0.8772
[2025-11-16 14:18:44] Epoch 19/60 | Loss 0.0720 | Train Acc 0.9816 | Val Acc 0.9637
[2025-11-16 14:19:13] Epoch 20/60 | Loss 0.0723 | Train Acc 0.9818 | Val Acc 0.8377
[2025-11-16 14:19:42] Epoch 21/60 | Loss 0.0709 | Train Acc 0.9813 | Val Acc 0.7100
[2025-11-16 14:20:10] Epoch 22/60 | Loss 0.0719 | Train Acc 0.9812 | Val Acc 0.9503
[2025-11-16 14:20:38] Epoch 23/60 | Loss 0.0663 | Train Acc 0.9824 | Val Acc 0.9403
[2025-11-16 14:21:06] Epoch 24/60 | Loss 0.0683 | Train Acc 0.9814 | Val Acc 0.9703
[2025-11-16 14:21:34] Epoch 25/60 | Loss 0.0616 | Train Acc 0.9838 | Val Acc 0.8926
[2025-11-16 14:22:03] Epoch 26/60 | Loss 0.0624 | Train Acc 0.9838 | Val Acc 0.9679
[2025-11-16 14:22:32] Epoch 27/60 | Loss 0.0615 | Train Acc 0.9837 | Val Acc 0.9820
[2025-11-16 14:23:01] Epoch 28/60 | Loss 0.0591 | Train Acc 0.9848 | Val Acc 0.9736
[2025-11-16 14:23:30] Epoch 29/60 | Loss 0.0574 | Train Acc 0.9847 | Val Acc 0.9093
[2025-11-16 14:23:59] Epoch 30/60 | Loss 0.0560 | Train Acc 0.9852 | Val Acc 0.9760
[2025-11-16 14:24:28] Epoch 31/60 | Loss 0.0537 | Train Acc 0.9866 | Val Acc 0.9831
[2025-11-16 14:24:58] Epoch 32/60 | Loss 0.0502 | Train Acc 0.9876 | Val Acc 0.9539
[2025-11-16 14:25:27] Epoch 33/60 | Loss 0.0530 | Train Acc 0.9864 | Val Acc 0.9495
[2025-11-16 14:25:56] Epoch 34/60 | Loss 0.0498 | Train Acc 0.9871 | Val Acc 0.9888
[2025-11-16 14:26:24] Epoch 35/60 | Loss 0.0440 | Train Acc 0.9891 | Val Acc 0.8700
[2025-11-16 14:26:52] Epoch 36/60 | Loss 0.0418 | Train Acc 0.9899 | Val Acc 0.9563
