[2025-11-16 15:07:13] Running experiment 'loss_ce_cosine_warmup' (Cosine scheduler with warmup for smoother convergence.)
[2025-11-16 15:07:43] Epoch 1/60 | Loss 0.7273 | Train Acc 0.7663 | Val Acc 0.9321
[2025-11-16 15:08:12] Epoch 2/60 | Loss 0.1674 | Train Acc 0.9536 | Val Acc 0.9697
[2025-11-16 15:08:41] Epoch 3/60 | Loss 0.1187 | Train Acc 0.9671 | Val Acc 0.9736
[2025-11-16 15:09:09] Epoch 4/60 | Loss 0.1092 | Train Acc 0.9700 | Val Acc 0.9706
[2025-11-16 15:09:37] Epoch 5/60 | Loss 0.0970 | Train Acc 0.9731 | Val Acc 0.9767
[2025-11-16 15:10:05] Epoch 6/60 | Loss 0.0921 | Train Acc 0.9749 | Val Acc 0.9635
[2025-11-16 15:10:25] Epoch 7/60 | Loss 0.0957 | Train Acc 0.9732 | Val Acc 0.9763
[2025-11-16 15:10:39] Epoch 8/60 | Loss 0.0877 | Train Acc 0.9768 | Val Acc 0.9558
[2025-11-16 15:10:53] Epoch 9/60 | Loss 0.1001 | Train Acc 0.9721 | Val Acc 0.9747
[2025-11-16 15:11:07] Epoch 10/60 | Loss 0.0922 | Train Acc 0.9736 | Val Acc 0.9714
[2025-11-16 15:11:21] Epoch 11/60 | Loss 0.0863 | Train Acc 0.9768 | Val Acc 0.9493
[2025-11-16 15:11:34] Epoch 12/60 | Loss 0.0903 | Train Acc 0.9757 | Val Acc 0.9813
[2025-11-16 15:11:48] Epoch 13/60 | Loss 0.0803 | Train Acc 0.9775 | Val Acc 0.9822
[2025-11-16 15:12:01] Epoch 14/60 | Loss 0.0848 | Train Acc 0.9766 | Val Acc 0.9758
[2025-11-16 15:12:15] Epoch 15/60 | Loss 0.0854 | Train Acc 0.9764 | Val Acc 0.9723
[2025-11-16 15:12:29] Epoch 16/60 | Loss 0.0833 | Train Acc 0.9781 | Val Acc 0.9721
[2025-11-16 15:12:42] Epoch 17/60 | Loss 0.0778 | Train Acc 0.9793 | Val Acc 0.9765
[2025-11-16 15:12:56] Epoch 18/60 | Loss 0.0841 | Train Acc 0.9775 | Val Acc 0.9708
[2025-11-16 15:13:09] Epoch 19/60 | Loss 0.0755 | Train Acc 0.9797 | Val Acc 0.9741
[2025-11-16 15:13:23] Epoch 20/60 | Loss 0.0791 | Train Acc 0.9787 | Val Acc 0.9813
[2025-11-16 15:13:37] Epoch 21/60 | Loss 0.0725 | Train Acc 0.9812 | Val Acc 0.9758
[2025-11-16 15:13:50] Epoch 22/60 | Loss 0.0716 | Train Acc 0.9809 | Val Acc 0.9407
[2025-11-16 15:14:04] Epoch 23/60 | Loss 0.0723 | Train Acc 0.9811 | Val Acc 0.9756
[2025-11-16 15:14:17] Epoch 24/60 | Loss 0.0761 | Train Acc 0.9803 | Val Acc 0.9677
[2025-11-16 15:14:31] Epoch 25/60 | Loss 0.0671 | Train Acc 0.9824 | Val Acc 0.9686
[2025-11-16 15:14:44] Epoch 26/60 | Loss 0.0658 | Train Acc 0.9828 | Val Acc 0.9811
[2025-11-16 15:14:58] Epoch 27/60 | Loss 0.0676 | Train Acc 0.9822 | Val Acc 0.9815
[2025-11-16 15:15:11] Epoch 28/60 | Loss 0.0637 | Train Acc 0.9826 | Val Acc 0.9857
[2025-11-16 15:15:25] Epoch 29/60 | Loss 0.0621 | Train Acc 0.9832 | Val Acc 0.9572
[2025-11-16 15:15:39] Epoch 30/60 | Loss 0.0609 | Train Acc 0.9835 | Val Acc 0.9585
[2025-11-16 15:15:52] Epoch 31/60 | Loss 0.0622 | Train Acc 0.9835 | Val Acc 0.9802
[2025-11-16 15:16:06] Epoch 32/60 | Loss 0.0586 | Train Acc 0.9849 | Val Acc 0.9793
[2025-11-16 15:16:19] Epoch 33/60 | Loss 0.0571 | Train Acc 0.9852 | Val Acc 0.9804
[2025-11-16 15:16:33] Epoch 34/60 | Loss 0.0568 | Train Acc 0.9853 | Val Acc 0.9846
[2025-11-16 15:16:46] Epoch 35/60 | Loss 0.0543 | Train Acc 0.9859 | Val Acc 0.9851
[2025-11-16 15:17:00] Epoch 36/60 | Loss 0.0493 | Train Acc 0.9877 | Val Acc 0.9892
[2025-11-16 15:17:13] Epoch 37/60 | Loss 0.0485 | Train Acc 0.9883 | Val Acc 0.9783
[2025-11-16 15:17:27] Epoch 38/60 | Loss 0.0478 | Train Acc 0.9875 | Val Acc 0.9886
[2025-11-16 15:17:40] Epoch 39/60 | Loss 0.0381 | Train Acc 0.9917 | Val Acc 0.9831
[2025-11-16 15:17:54] Epoch 40/60 | Loss 0.0378 | Train Acc 0.9913 | Val Acc 0.9809
[2025-11-16 15:18:07] Epoch 41/60 | Loss 0.0382 | Train Acc 0.9914 | Val Acc 0.9859
[2025-11-16 15:18:21] Epoch 42/60 | Loss 0.0390 | Train Acc 0.9911 | Val Acc 0.9884
[2025-11-16 15:18:34] Epoch 43/60 | Loss 0.0348 | Train Acc 0.9916 | Val Acc 0.9916
[2025-11-16 15:18:48] Epoch 44/60 | Loss 0.0295 | Train Acc 0.9932 | Val Acc 0.9888
[2025-11-16 15:19:01] Epoch 45/60 | Loss 0.0290 | Train Acc 0.9934 | Val Acc 0.9895
[2025-11-16 15:19:15] Epoch 46/60 | Loss 0.0237 | Train Acc 0.9950 | Val Acc 0.9879
[2025-11-16 15:19:28] Epoch 47/60 | Loss 0.0233 | Train Acc 0.9947 | Val Acc 0.9890
[2025-11-16 15:19:42] Epoch 48/60 | Loss 0.0191 | Train Acc 0.9961 | Val Acc 0.9783
[2025-11-16 15:19:55] Epoch 49/60 | Loss 0.0185 | Train Acc 0.9957 | Val Acc 0.9868
[2025-11-16 15:20:09] Epoch 50/60 | Loss 0.0166 | Train Acc 0.9965 | Val Acc 0.9903
[2025-11-16 15:20:22] Epoch 51/60 | Loss 0.0119 | Train Acc 0.9980 | Val Acc 0.9919
[2025-11-16 15:20:36] Epoch 52/60 | Loss 0.0095 | Train Acc 0.9984 | Val Acc 0.9923
[2025-11-16 15:20:50] Epoch 53/60 | Loss 0.0079 | Train Acc 0.9989 | Val Acc 0.9923
[2025-11-16 15:21:03] Epoch 54/60 | Loss 0.0076 | Train Acc 0.9989 | Val Acc 0.9917
[2025-11-16 15:21:17] Epoch 55/60 | Loss 0.0073 | Train Acc 0.9988 | Val Acc 0.9923
[2025-11-16 15:21:31] Epoch 56/60 | Loss 0.0067 | Train Acc 0.9990 | Val Acc 0.9921
[2025-11-16 15:21:45] Epoch 57/60 | Loss 0.0060 | Train Acc 0.9992 | Val Acc 0.9923
[2025-11-16 15:21:58] Epoch 58/60 | Loss 0.0056 | Train Acc 0.9991 | Val Acc 0.9928
[2025-11-16 15:22:11] Epoch 59/60 | Loss 0.0055 | Train Acc 0.9994 | Val Acc 0.9925
[2025-11-16 15:22:25] Epoch 60/60 | Loss 0.0054 | Train Acc 0.9991 | Val Acc 0.9925
[2025-11-16 15:22:26] Finished experiment 'loss_ce_cosine_warmup' | Best Val Acc 0.9928 | Eval Overall 0.9928 | Small 0.9875183553597651 | Noisy 0.9787556904400607
