[2025-11-16 14:38:27] Running experiment 'loss_ce_step' (CrossEntropy + Step LR (milestones 60/85%).)
[2025-11-16 14:38:55] Epoch 1/60 | Loss 0.8591 | Train Acc 0.7274 | Val Acc 0.9383
[2025-11-16 14:39:23] Epoch 2/60 | Loss 0.1667 | Train Acc 0.9534 | Val Acc 0.9570
[2025-11-16 14:39:51] Epoch 3/60 | Loss 0.1117 | Train Acc 0.9698 | Val Acc 0.9736
[2025-11-16 14:40:20] Epoch 4/60 | Loss 0.1016 | Train Acc 0.9718 | Val Acc 0.9728
[2025-11-16 14:40:49] Epoch 5/60 | Loss 0.0997 | Train Acc 0.9729 | Val Acc 0.9550
[2025-11-16 14:41:19] Epoch 6/60 | Loss 0.0935 | Train Acc 0.9741 | Val Acc 0.9749
[2025-11-16 14:41:48] Epoch 7/60 | Loss 0.0838 | Train Acc 0.9773 | Val Acc 0.9671
[2025-11-16 14:42:17] Epoch 8/60 | Loss 0.0853 | Train Acc 0.9772 | Val Acc 0.9629
[2025-11-16 14:42:46] Epoch 9/60 | Loss 0.0892 | Train Acc 0.9753 | Val Acc 0.9800
[2025-11-16 14:43:15] Epoch 10/60 | Loss 0.0862 | Train Acc 0.9765 | Val Acc 0.9816
[2025-11-16 14:43:44] Epoch 11/60 | Loss 0.0883 | Train Acc 0.9760 | Val Acc 0.9800
[2025-11-16 14:44:13] Epoch 12/60 | Loss 0.0826 | Train Acc 0.9776 | Val Acc 0.9651
[2025-11-16 14:44:41] Epoch 13/60 | Loss 0.0921 | Train Acc 0.9749 | Val Acc 0.9246
[2025-11-16 14:45:09] Epoch 14/60 | Loss 0.0836 | Train Acc 0.9773 | Val Acc 0.9673
[2025-11-16 14:45:37] Epoch 15/60 | Loss 0.0834 | Train Acc 0.9773 | Val Acc 0.9736
[2025-11-16 14:46:05] Epoch 16/60 | Loss 0.0794 | Train Acc 0.9789 | Val Acc 0.8645
[2025-11-16 14:46:34] Epoch 17/60 | Loss 0.0854 | Train Acc 0.9764 | Val Acc 0.9405
[2025-11-16 14:47:03] Epoch 18/60 | Loss 0.0836 | Train Acc 0.9767 | Val Acc 0.9514
[2025-11-16 14:47:32] Epoch 19/60 | Loss 0.0718 | Train Acc 0.9815 | Val Acc 0.9493
[2025-11-16 14:48:01] Epoch 20/60 | Loss 0.0792 | Train Acc 0.9786 | Val Acc 0.9512
[2025-11-16 14:48:31] Epoch 21/60 | Loss 0.0826 | Train Acc 0.9774 | Val Acc 0.9837
[2025-11-16 14:49:00] Epoch 22/60 | Loss 0.0774 | Train Acc 0.9791 | Val Acc 0.9675
[2025-11-16 14:49:29] Epoch 23/60 | Loss 0.0804 | Train Acc 0.9778 | Val Acc 0.9422
[2025-11-16 14:49:58] Epoch 24/60 | Loss 0.0723 | Train Acc 0.9814 | Val Acc 0.9820
[2025-11-16 14:50:27] Epoch 25/60 | Loss 0.0747 | Train Acc 0.9805 | Val Acc 0.9558
[2025-11-16 14:50:55] Epoch 26/60 | Loss 0.0753 | Train Acc 0.9800 | Val Acc 0.9334
[2025-11-16 14:51:23] Epoch 27/60 | Loss 0.0750 | Train Acc 0.9800 | Val Acc 0.9693
[2025-11-16 14:51:51] Epoch 28/60 | Loss 0.0814 | Train Acc 0.9780 | Val Acc 0.9708
[2025-11-16 14:52:19] Epoch 29/60 | Loss 0.0708 | Train Acc 0.9813 | Val Acc 0.9633
[2025-11-16 14:52:48] Epoch 30/60 | Loss 0.0785 | Train Acc 0.9781 | Val Acc 0.9565
[2025-11-16 14:53:17] Epoch 31/60 | Loss 0.0723 | Train Acc 0.9809 | Val Acc 0.9796
[2025-11-16 14:53:46] Epoch 32/60 | Loss 0.0771 | Train Acc 0.9791 | Val Acc 0.9717
[2025-11-16 14:54:15] Epoch 33/60 | Loss 0.0816 | Train Acc 0.9783 | Val Acc 0.9765
[2025-11-16 14:54:44] Epoch 34/60 | Loss 0.0741 | Train Acc 0.9805 | Val Acc 0.9695
[2025-11-16 14:55:13] Epoch 35/60 | Loss 0.0691 | Train Acc 0.9819 | Val Acc 0.9679
[2025-11-16 14:55:42] Epoch 36/60 | Loss 0.0748 | Train Acc 0.9809 | Val Acc 0.9381
[2025-11-16 14:56:11] Epoch 37/60 | Loss 0.0381 | Train Acc 0.9914 | Val Acc 0.9906
[2025-11-16 14:56:40] Epoch 38/60 | Loss 0.0327 | Train Acc 0.9928 | Val Acc 0.9901
[2025-11-16 14:57:08] Epoch 39/60 | Loss 0.0302 | Train Acc 0.9933 | Val Acc 0.9908
