[2025-11-16 09:50:00] Running experiment 'model_resnet32_baseline' (Reference ResNet32 baseline.)
[2025-11-16 09:50:29] Epoch 1/60 | Loss 1.0257 | Train Acc 0.6796 | Val Acc 0.9354
[2025-11-16 09:50:59] Epoch 2/60 | Loss 0.1765 | Train Acc 0.9511 | Val Acc 0.9556
[2025-11-16 09:51:28] Epoch 3/60 | Loss 0.1241 | Train Acc 0.9661 | Val Acc 0.9593
[2025-11-16 09:51:57] Epoch 4/60 | Loss 0.1042 | Train Acc 0.9718 | Val Acc 0.9508
[2025-11-16 09:52:26] Epoch 5/60 | Loss 0.0944 | Train Acc 0.9753 | Val Acc 0.9725
[2025-11-16 09:52:55] Epoch 6/60 | Loss 0.0938 | Train Acc 0.9754 | Val Acc 0.9721
[2025-11-16 09:53:24] Epoch 7/60 | Loss 0.0869 | Train Acc 0.9770 | Val Acc 0.9798
[2025-11-16 09:53:53] Epoch 8/60 | Loss 0.0880 | Train Acc 0.9757 | Val Acc 0.9699
[2025-11-16 09:54:21] Epoch 9/60 | Loss 0.0869 | Train Acc 0.9768 | Val Acc 0.9704
[2025-11-16 09:54:49] Epoch 10/60 | Loss 0.0866 | Train Acc 0.9768 | Val Acc 0.9715
[2025-11-16 09:55:17] Epoch 11/60 | Loss 0.0832 | Train Acc 0.9781 | Val Acc 0.9727
[2025-11-16 09:55:45] Epoch 12/60 | Loss 0.0795 | Train Acc 0.9782 | Val Acc 0.9668
[2025-11-16 09:56:14] Epoch 13/60 | Loss 0.0808 | Train Acc 0.9791 | Val Acc 0.9422
[2025-11-16 09:56:43] Epoch 14/60 | Loss 0.0763 | Train Acc 0.9792 | Val Acc 0.9820
[2025-11-16 09:57:12] Epoch 15/60 | Loss 0.0787 | Train Acc 0.9787 | Val Acc 0.9772
[2025-11-16 09:57:41] Epoch 16/60 | Loss 0.0759 | Train Acc 0.9799 | Val Acc 0.9769
[2025-11-16 09:58:10] Epoch 17/60 | Loss 0.0729 | Train Acc 0.9803 | Val Acc 0.9791
[2025-11-16 09:58:40] Epoch 18/60 | Loss 0.0735 | Train Acc 0.9806 | Val Acc 0.9802
[2025-11-16 09:59:09] Epoch 19/60 | Loss 0.0675 | Train Acc 0.9825 | Val Acc 0.9591
[2025-11-16 09:59:38] Epoch 20/60 | Loss 0.0698 | Train Acc 0.9823 | Val Acc 0.9717
[2025-11-16 10:00:06] Epoch 21/60 | Loss 0.0684 | Train Acc 0.9817 | Val Acc 0.9567
[2025-11-16 10:00:34] Epoch 22/60 | Loss 0.0681 | Train Acc 0.9820 | Val Acc 0.9728
[2025-11-16 10:01:02] Epoch 23/60 | Loss 0.0692 | Train Acc 0.9813 | Val Acc 0.9848
[2025-11-16 10:01:30] Epoch 24/60 | Loss 0.0570 | Train Acc 0.9860 | Val Acc 0.9796
[2025-11-16 10:01:58] Epoch 25/60 | Loss 0.0612 | Train Acc 0.9843 | Val Acc 0.9815
[2025-11-16 10:02:27] Epoch 26/60 | Loss 0.0612 | Train Acc 0.9851 | Val Acc 0.9813
[2025-11-16 10:02:56] Epoch 27/60 | Loss 0.0597 | Train Acc 0.9844 | Val Acc 0.9842
[2025-11-16 10:03:25] Epoch 28/60 | Loss 0.0560 | Train Acc 0.9855 | Val Acc 0.9348
[2025-11-16 10:03:54] Epoch 29/60 | Loss 0.0577 | Train Acc 0.9851 | Val Acc 0.9387
[2025-11-16 10:04:23] Epoch 30/60 | Loss 0.0495 | Train Acc 0.9874 | Val Acc 0.9831
[2025-11-16 10:04:52] Epoch 31/60 | Loss 0.0544 | Train Acc 0.9849 | Val Acc 0.9824
[2025-11-16 10:05:21] Epoch 32/60 | Loss 0.0469 | Train Acc 0.9887 | Val Acc 0.9763
[2025-11-16 10:05:50] Epoch 33/60 | Loss 0.0472 | Train Acc 0.9875 | Val Acc 0.9659
[2025-11-16 10:06:18] Epoch 34/60 | Loss 0.0461 | Train Acc 0.9893 | Val Acc 0.9796
[2025-11-16 10:06:46] Epoch 35/60 | Loss 0.0427 | Train Acc 0.9899 | Val Acc 0.9794
[2025-11-16 10:07:14] Epoch 36/60 | Loss 0.0463 | Train Acc 0.9888 | Val Acc 0.9872
[2025-11-16 10:07:42] Epoch 37/60 | Loss 0.0406 | Train Acc 0.9906 | Val Acc 0.9870
[2025-11-16 10:08:11] Epoch 38/60 | Loss 0.0387 | Train Acc 0.9911 | Val Acc 0.9886
[2025-11-16 10:08:40] Epoch 39/60 | Loss 0.0376 | Train Acc 0.9909 | Val Acc 0.9890
[2025-11-16 10:09:09] Epoch 40/60 | Loss 0.0341 | Train Acc 0.9924 | Val Acc 0.9883
[2025-11-16 10:09:38] Epoch 41/60 | Loss 0.0330 | Train Acc 0.9924 | Val Acc 0.9837
[2025-11-16 10:10:07] Epoch 42/60 | Loss 0.0260 | Train Acc 0.9944 | Val Acc 0.9917
[2025-11-16 10:10:36] Epoch 43/60 | Loss 0.0257 | Train Acc 0.9945 | Val Acc 0.9899
[2025-11-16 10:11:05] Epoch 44/60 | Loss 0.0237 | Train Acc 0.9952 | Val Acc 0.9886
[2025-11-16 10:11:34] Epoch 45/60 | Loss 0.0219 | Train Acc 0.9954 | Val Acc 0.9875
[2025-11-16 10:12:03] Epoch 46/60 | Loss 0.0186 | Train Acc 0.9963 | Val Acc 0.9910
[2025-11-16 10:12:31] Epoch 47/60 | Loss 0.0162 | Train Acc 0.9971 | Val Acc 0.9905
[2025-11-16 10:12:59] Epoch 48/60 | Loss 0.0158 | Train Acc 0.9968 | Val Acc 0.9908
[2025-11-16 10:13:27] Epoch 49/60 | Loss 0.0128 | Train Acc 0.9978 | Val Acc 0.9916
[2025-11-16 10:13:54] Epoch 50/60 | Loss 0.0099 | Train Acc 0.9984 | Val Acc 0.9916
[2025-11-16 10:14:23] Epoch 51/60 | Loss 0.0089 | Train Acc 0.9989 | Val Acc 0.9917
[2025-11-16 10:14:52] Epoch 52/60 | Loss 0.0083 | Train Acc 0.9986 | Val Acc 0.9917
[2025-11-16 10:15:21] Epoch 53/60 | Loss 0.0067 | Train Acc 0.9992 | Val Acc 0.9916
[2025-11-16 10:15:50] Epoch 54/60 | Loss 0.0066 | Train Acc 0.9992 | Val Acc 0.9925
[2025-11-16 10:16:19] Epoch 55/60 | Loss 0.0062 | Train Acc 0.9991 | Val Acc 0.9923
[2025-11-16 10:16:48] Epoch 56/60 | Loss 0.0056 | Train Acc 0.9994 | Val Acc 0.9925
[2025-11-16 10:17:17] Epoch 57/60 | Loss 0.0052 | Train Acc 0.9994 | Val Acc 0.9927
[2025-11-16 10:17:46] Epoch 58/60 | Loss 0.0056 | Train Acc 0.9994 | Val Acc 0.9925
[2025-11-16 10:18:15] Epoch 59/60 | Loss 0.0051 | Train Acc 0.9994 | Val Acc 0.9923
[2025-11-16 10:18:42] Epoch 60/60 | Loss 0.0049 | Train Acc 0.9995 | Val Acc 0.9923
[2025-11-16 10:18:45] Finished experiment 'model_resnet32_baseline' | Best Val Acc 0.9927 | Eval Overall 0.9927 | Small 0.986784140969163 | Noisy 0.9772382397572079
