[2025-11-16 13:36:42] Running experiment 'model_resnet32_se' (Channel attention (SE) injected into ResNet32 blocks.)
[2025-11-16 13:37:16] Epoch 1/60 | Loss 0.9013 | Train Acc 0.7132 | Val Acc 0.9405
[2025-11-16 13:37:48] Epoch 2/60 | Loss 0.1533 | Train Acc 0.9610 | Val Acc 0.9793
[2025-11-16 13:38:20] Epoch 3/60 | Loss 0.1016 | Train Acc 0.9731 | Val Acc 0.9782
[2025-11-16 13:38:52] Epoch 4/60 | Loss 0.0821 | Train Acc 0.9783 | Val Acc 0.9791
[2025-11-16 13:39:25] Epoch 5/60 | Loss 0.0765 | Train Acc 0.9796 | Val Acc 0.9840
[2025-11-16 13:39:59] Epoch 6/60 | Loss 0.0666 | Train Acc 0.9823 | Val Acc 0.9855
[2025-11-16 13:40:32] Epoch 7/60 | Loss 0.0600 | Train Acc 0.9843 | Val Acc 0.9855
[2025-11-16 13:41:05] Epoch 8/60 | Loss 0.0528 | Train Acc 0.9866 | Val Acc 0.9864
[2025-11-16 13:41:38] Epoch 9/60 | Loss 0.0544 | Train Acc 0.9857 | Val Acc 0.9831
[2025-11-16 13:42:11] Epoch 10/60 | Loss 0.0516 | Train Acc 0.9860 | Val Acc 0.9835
[2025-11-16 13:42:44] Epoch 11/60 | Loss 0.0491 | Train Acc 0.9876 | Val Acc 0.9873
[2025-11-16 13:43:17] Epoch 12/60 | Loss 0.0438 | Train Acc 0.9886 | Val Acc 0.9888
[2025-11-16 13:43:49] Epoch 13/60 | Loss 0.0446 | Train Acc 0.9888 | Val Acc 0.9886
[2025-11-16 13:44:22] Epoch 14/60 | Loss 0.0422 | Train Acc 0.9899 | Val Acc 0.9866
[2025-11-16 13:44:53] Epoch 15/60 | Loss 0.0383 | Train Acc 0.9897 | Val Acc 0.9859
[2025-11-16 13:45:26] Epoch 16/60 | Loss 0.0357 | Train Acc 0.9910 | Val Acc 0.9760
[2025-11-16 13:46:00] Epoch 17/60 | Loss 0.0336 | Train Acc 0.9922 | Val Acc 0.9894
[2025-11-16 13:46:33] Epoch 18/60 | Loss 0.0342 | Train Acc 0.9917 | Val Acc 0.9890
[2025-11-16 13:47:06] Epoch 19/60 | Loss 0.0294 | Train Acc 0.9930 | Val Acc 0.9894
