[2025-11-16 10:18:45] Running experiment 'model_resnet44_deeper' (Deeper residual stack to test representation gain.)
[2025-11-16 10:19:22] Epoch 1/60 | Loss 1.2696 | Train Acc 0.6099 | Val Acc 0.8996
[2025-11-16 10:19:58] Epoch 2/60 | Loss 0.1868 | Train Acc 0.9469 | Val Acc 0.9422
[2025-11-16 10:20:37] Epoch 3/60 | Loss 0.1171 | Train Acc 0.9684 | Val Acc 0.9778
[2025-11-16 10:21:15] Epoch 4/60 | Loss 0.1029 | Train Acc 0.9708 | Val Acc 0.9739
[2025-11-16 10:21:54] Epoch 5/60 | Loss 0.0939 | Train Acc 0.9752 | Val Acc 0.9796
[2025-11-16 10:22:32] Epoch 6/60 | Loss 0.0860 | Train Acc 0.9766 | Val Acc 0.9701
[2025-11-16 10:23:11] Epoch 7/60 | Loss 0.0851 | Train Acc 0.9765 | Val Acc 0.9741
[2025-11-16 10:23:49] Epoch 8/60 | Loss 0.0859 | Train Acc 0.9750 | Val Acc 0.9789
[2025-11-16 10:24:28] Epoch 9/60 | Loss 0.0849 | Train Acc 0.9769 | Val Acc 0.9633
[2025-11-16 10:25:05] Epoch 10/60 | Loss 0.0781 | Train Acc 0.9799 | Val Acc 0.9800
[2025-11-16 10:25:42] Epoch 11/60 | Loss 0.0820 | Train Acc 0.9777 | Val Acc 0.9846
[2025-11-16 10:26:19] Epoch 12/60 | Loss 0.0733 | Train Acc 0.9808 | Val Acc 0.9677
[2025-11-16 10:26:57] Epoch 13/60 | Loss 0.0848 | Train Acc 0.9758 | Val Acc 0.9690
[2025-11-16 10:27:36] Epoch 14/60 | Loss 0.0794 | Train Acc 0.9792 | Val Acc 0.9780
[2025-11-16 10:28:14] Epoch 15/60 | Loss 0.0749 | Train Acc 0.9799 | Val Acc 0.9728
[2025-11-16 10:28:52] Epoch 16/60 | Loss 0.0744 | Train Acc 0.9805 | Val Acc 0.9807
[2025-11-16 10:29:31] Epoch 17/60 | Loss 0.0725 | Train Acc 0.9817 | Val Acc 0.9767
[2025-11-16 10:30:09] Epoch 18/60 | Loss 0.0670 | Train Acc 0.9834 | Val Acc 0.9739
[2025-11-16 10:30:48] Epoch 19/60 | Loss 0.0717 | Train Acc 0.9797 | Val Acc 0.9809
[2025-11-16 10:31:25] Epoch 20/60 | Loss 0.0662 | Train Acc 0.9824 | Val Acc 0.9794
[2025-11-16 10:32:02] Epoch 21/60 | Loss 0.0653 | Train Acc 0.9831 | Val Acc 0.9767
[2025-11-16 10:32:39] Epoch 22/60 | Loss 0.0645 | Train Acc 0.9831 | Val Acc 0.9771
[2025-11-16 10:33:17] Epoch 23/60 | Loss 0.0635 | Train Acc 0.9842 | Val Acc 0.9813
[2025-11-16 10:33:56] Epoch 24/60 | Loss 0.0659 | Train Acc 0.9829 | Val Acc 0.9829
[2025-11-16 10:34:34] Epoch 25/60 | Loss 0.0615 | Train Acc 0.9832 | Val Acc 0.9719
[2025-11-16 10:35:13] Epoch 26/60 | Loss 0.0589 | Train Acc 0.9848 | Val Acc 0.9422
[2025-11-16 10:35:51] Epoch 27/60 | Loss 0.0571 | Train Acc 0.9856 | Val Acc 0.9835
[2025-11-16 10:36:29] Epoch 28/60 | Loss 0.0555 | Train Acc 0.9862 | Val Acc 0.9877
[2025-11-16 10:37:07] Epoch 29/60 | Loss 0.0536 | Train Acc 0.9864 | Val Acc 0.9649
[2025-11-16 10:37:44] Epoch 30/60 | Loss 0.0499 | Train Acc 0.9882 | Val Acc 0.9738
[2025-11-16 10:38:21] Epoch 31/60 | Loss 0.0475 | Train Acc 0.9882 | Val Acc 0.9857
[2025-11-16 10:38:58] Epoch 32/60 | Loss 0.0521 | Train Acc 0.9868 | Val Acc 0.9853
[2025-11-16 10:39:37] Epoch 33/60 | Loss 0.0499 | Train Acc 0.9866 | Val Acc 0.9855
[2025-11-16 10:40:15] Epoch 34/60 | Loss 0.0440 | Train Acc 0.9899 | Val Acc 0.9886
[2025-11-16 10:40:53] Epoch 35/60 | Loss 0.0438 | Train Acc 0.9901 | Val Acc 0.9890
[2025-11-16 10:41:31] Epoch 36/60 | Loss 0.0428 | Train Acc 0.9894 | Val Acc 0.9853
[2025-11-16 10:42:10] Epoch 37/60 | Loss 0.0408 | Train Acc 0.9896 | Val Acc 0.9860
[2025-11-16 10:42:48] Epoch 38/60 | Loss 0.0378 | Train Acc 0.9906 | Val Acc 0.9789
[2025-11-16 10:43:25] Epoch 39/60 | Loss 0.0375 | Train Acc 0.9907 | Val Acc 0.9844
[2025-11-16 10:44:02] Epoch 40/60 | Loss 0.0370 | Train Acc 0.9909 | Val Acc 0.9842
[2025-11-16 10:44:39] Epoch 41/60 | Loss 0.0330 | Train Acc 0.9922 | Val Acc 0.9873
[2025-11-16 10:45:16] Epoch 42/60 | Loss 0.0261 | Train Acc 0.9941 | Val Acc 0.9895
[2025-11-16 10:45:55] Epoch 43/60 | Loss 0.0257 | Train Acc 0.9945 | Val Acc 0.9849
[2025-11-16 10:46:33] Epoch 44/60 | Loss 0.0239 | Train Acc 0.9947 | Val Acc 0.9881
[2025-11-16 10:47:11] Epoch 45/60 | Loss 0.0238 | Train Acc 0.9946 | Val Acc 0.9884
